title,lyrics
Anirudh Ravichander Aaluma Doluma lyrics,Aaluma Doluma Isalangadi Maaluma|-|Therichi Galijinu Graki Utta Saluma|-|Arikallu Karikallu Koththuvutta Kalakallu|-|Palichinu Palapalakudhu Mitta Mela Local-u|-|Damukunnu Dubukkunna Kolakadham Kumukunnum|-|Dubukkuna Dumaangoli Epdi Pona Enakkenna|-|Karukkuna Murukkuno Thavadaiyadhaan Yerakkuna|-|Irukkuna Sarakkuna Ondiyadha Unakunna|-|Aaluma Doluma|-|Aaluma Doluma Isalangadi Maaluma|-|Therichi Galijinu Graki Utta Soluma|-|Arikallu Karikallu Koththuvutta Kalakallu|-|Palichinu Palapalakudhu Mitta Mela Local-u|-|Raanga Raw ah Thaan Rowdiyanen Jovadhaan|-|Thutta Kuduthuputta Kuththu Vizhum Sovadhaan|-|Robery Forgery Mokka Scene-u Bore-u da|-|Matta Panniputta Maja Maela Peruda|-|Egiruna Thoguruna Silent ah Dhaan Nagaruna|-|Tholukula Soruvuna Dokka Avuru Maattina|-|Poruladhaan Idupula Vachaen Vayasu Thudupula|-|Izhukuran Polakkuran Rowdy nu Adhupula|-|Aaluma Doluma|-|Aaluma Doluma Isalangadi Maaluma|-|Therihi Galijinu Graki Utta Soluma|-|Getha Udadha Pung-u Getha Udadha|-|Nee Earunaalum Vaarunaalum Getha Udadha|-|Getha Udadha Pung-u Getha Udadha|-|Evan Seerunaalum Maarunaalum|-|Getha Udadha|-|Aaluma Doluma doluma.|-|Aaluma Doluma Isalangadi Maaluma|-|Therihi Galijinu Graki Utta Soluma|-|Arikallu Karikallu Koththuvutta Kalakallu|-|Palichinu Palapalakudhu Mitta Mela Local-u|-|Damukunnu Dubukkunna Kolakadham Kumukunnum|-|Dubukkuna Dumaangoli Epdi Pona Enakkenna|-|Karukkuna Murukkuno Thavadaiyadhaan Yerakkuna|-|Irukkuna Sarakkuna Ondiyadha Unakinna|-|Aaluma Doluma Isalangadi Maaluma|-|Therichi Galijinu Graki Utta Soluma|-|Arikallu Karikallu Koththuvutta Kalakallu|-|Palichinu Palapalakudhu Mitta Mela Local-u
Anirudh Ravichander Alladhe Siragiye lyrics,Alladhe Siragiye|-|Kolladhe Kalavara Alagiye|-|Polladha Asaivila|-|Melladha Thuru Thuru Kuruviye|-|Naan Unai Anaithu|-|Uyir Paripen|-|Kaneere Venam Kaathu Nirpen|-|Saavaiyum Thaduthu Vazhi Marippen|-|Nee Ketal naan Enai Koduppen|-|Nee Itta Pimbam|-|Nilala Nilava Endru|-|Man Thotta Kaiyil Oliya|-|Un Mouna Saththam Asaiya isaiya Ennil|-|Men Kokki Podum isaiya|-|Undhan Vaanavil Siripinil|-|Niram Pidipen|-|Ivan kaakidha Idhalgalil Nagal Eduppen|-|Chinna Nyabaga Kumuliyil|-|Unnai Adaithen|-|Sendru vaazhndhida Adhisaya|-|Idam Padaipen|-|Un Niram Pidipen|-|Nagal Eduppen|-|Unnai Adaindhen|-|Adhisaiya Idam Padaithen|-|Un Niram Pidipen|-|Nagal Eduppen|-|Unnai Adaindhen
Anirudh Ravichander Baitikochi Chuste lyrics,Baitikochi choosthe time emo 3'0 clock|-|Intikelle 12B route mottham road block|-|Baitikochi choosthe time emo 3'0 clock|-|Intikelle 12B route mottham road block|-|Oye nee chethikunna bangles ye|-|Thalamesena sandles ye|-|Walk way lo choosthe|-|Puvvula rekkalu full ga kappese|-|Corner lo coffee shop|-|Vedi vedi ga whistle ese|-|Bus kitiki dhaggara|-|College student phone lo moge|-|FM lo evvaro paadithe|-|Vollantha endhuko voogene|-|Apple pandula sooryude|-|Aeroplane la naa gunde|-|Thelindhe gaalilo mabbula|-|Jaarindhe nelapai needala|-|Volle gucchele sudden ga|-|Challagaale villian laa|-|Baitikochi choosthe time emo 3'0 clock|-|Intikelle 12B route mottham road block|-|Baitikochi choosthe time emo 3'0 clock|-|Intikelle 12B route mottham road block|-|Nee pakka nunna vela car horn kooda|-|Classical music aa|-|Ee mandutenda kooda AC jalluthondhi|-|Nee navvuloni magic aa|-|Taxi hire chesi nuvvu|-|Beramaaduthunte cute gundhi basic ga|-|Breaks vesinappudalla nee bugga nannu thaki|-|Sorry cheppe naazugga|-|Nuvvunna kitiki ye vaipo vethiki|-|WhatsApp chesthava|-|Mabbulni kadhipi mohamaata petti|-|Chandhrudni thesthaga|-|Baitikochi choosthe time emo 3'0 clock|-|Intikelle 12B route mottham road block|-|Baitikochi choosthe time emo 3'0 clock|-|Intikelle 12B route mottham road block|-|FM lo evvaro paadithe|-|Vollantha endhuko voogene|-|Apple pandula sooryude|-|Aeroplane la naa gunde|-|Thelindhe gaalilo mabbula|-|Jaarindhe nelapai needala|-|Volle gucchele sudden ga|-|Challagaale villian laa
"Anirudh Ravichander Baitikochi Chuste (From ""PSPK25"") lyrics",Baitikochi choosthe time emo 3'0 clock|-|Intikelle 12B route motham road block|-|Aaa. Aaa. Aaa.|-|Baitikochi choosthe time emo 3'0 clock|-|Intikelle 12B route motham road block|-|Oyy|-|Ne chethikunna bangles ey|-|Thaalamesey na sandles ey|-|Walk way lo chustey puvvala rekkalu|-|Full ga kappesey|-|Corner lo coffe shop|-|vedi vedi ga whistle vesey|-|Bus kitiki daggara college students phone lo mogey|-|FM lo evvaro paaditey|-|Vallantha enduko oogeney|-|Apple pandu la suryudey|-|Aeroplane la na gundey|-|Telindey gaalilo mabbula|-|Jaarindey nelapai needala|-|Mulley guchiney sudden ga|-|Challa gaaley villain la|-|Baitikochi choosthe time emo 3'0 clock|-|Intikelle 12B route motham road block|-|Baitikochi...|-|choosthe time emo 3'0 clock|-|Intikelle 12B route motham block|-|Nee pakkanunna vela car horn kuda|-|Classical music aa|-|Ee mandutenda kuda|-|AC jallutundi ne navvuloni magic aa|-|Taxi hire chesi nuvu beramadutuntey|-|Cute ga undi basic aa|-|Breaks vesinappudalla|-|Nee bugga nannu thaaki|-|Sorry cheppey najugga|-|Nuvvunna kitiki a vaipu vethiki|-|WhatsApp chestava|-|Mabbulni kadipi|-|Mohamaata petti|-|Chandrudini testha ga|-|Baitikochi choosthe time emo 3'0 clock|-|Intikelle 12B route motham road block|-|Baitikochi choosthe time emo 3'0 clock|-|Intikelle 12B route motham road block|-|FM lo evaroo paadithe|-|Vollantha endhuko vugeney|-|Apple pandula sooryude|-|Aeroplane la naa gundey|-|Thelindhe gaalilo mabbula|-|Jaarindhe nelapai needala|-|Mulle gucchene sudden gaa|-|Challagaale villian laa...
Anirudh Ravichander Bewajah lyrics,Kal tha jo mera|-|Woh ab mujhse juda|-|Kyun tum se ladaa|-|Mera dil aakhri dafaa|-|Ab main saath jo nahi mere siva|-|Tera hath kaun chhu rahaa|-|Ab main saath jo nahi tere bina|-|Mera haath khamkha dhundhta tumko|-|Door hum tum Bewajah|-|Dard har dum Bewajah|-|Door hum tum Bewajah|-|Kal tha jo tera|-|Vo na tujhse juda|-|Phir kyun hai tere|-|Ab paas koi nayaa|-|Ab saath jo nahi mere siva|-|Tere saath kaun hai chalaa|-|Ab main saath jo nahi tere bina|-|Mera soona raasta dhoondta tumko|-|Door hum tum Bewajah|-|Dard har dum Bewajah|-|Door hum tum Bewajah|-|The stars were shining bright|-|Whenever you said Hello!|-|And you brought me back to life|-|And I cannot let it go|-|Would you hold me one last time|-|Cuz darling I want to show|-|And darling I need to know...|-|Door hum tum Bewajah|-|Dard har dum Bewajah
Anirudh Ravichander Daavuya lyrics,"Daavuya novuya|-|no venaayaa|-|love-uya mattuya|-|nee paavamya|-|Daavuya novuya|-|no venaayaa|-|love-uya mattuya|-|me veri sogamya|-|nenjula ambu vitta|-|kittu kitta vaadi|-|green parrot-u|-|engadi pona|-|enna vittu|-|kaattutiye|-|kabadi vilayattu|-|pattunu enna|-|vuttutu pona|-|dream-u sceneula|-|cut-unu sonnaa|-|ye kadhulathaan|-|poova azhagaa vachchaale|-|kadhalathaan kalatti|-|erinjaale|-|heartula thaan|-|avala strong-aa|-|vachchene|-|odhari vitta|-|kadhari azhalareney|-|adi sonu sonu|-|enna sonu|-|yendi yemmaa|-|imman sceanu|-|namma bro thaan|-|nalla bro thaan|-|vittu pudaathaa|-|Daavuya novuya|-|no venaayaa|-|love-uya mattuya|-|nee paavamya|-|Daavuya novuya|-|no venaayaa|-|love-uya mattuya|-|me veri sogamya|-|odum uryula onna|-|ottitia parthaen|-|adi yendi baby|-|neeyum pichitu|-|pona.|-|raththam sathayuma|-|onna vazhdhida paarthen|-|yendi aruvaa pottu|-|neeum aruthitu pona|-|kalangalaaga|-|vazhndhavan naaney|-|kalanga vachi|-|poriye maaney|-|kalangalaaga|-|vazhndhavan naan|-|kalanga vachi poriye ne|-|ayyayyo polamba|-|vittaaley hey hey.|-|kadhulathaan|-|sonu,. vuttaale|-|heartula thaan|-|avala strong-aa|-|vachchene|-|odhari vitta|-|kadhari azhalareney|-|adi sonu sonu|-|enna sonu|-|yendi yemmaa|-|imman sceanu|-|namma bro thaan|-|nalla bro thaan|-|vittu pudaathaa|-|nenjula ambu vitta|-|kittu kitta vaadi|-|green parrot-u|-|engadi pona|-|enna vittu|-|kaattutiye|-|kabadi vilayattu"
Anirudh Ravichander Damalu Dumeelu lyrics,Matham Konda Yaanai Enna Seiyum Theriyumaa|-|Sinam Konda Singathidam Thottru Odum|-|Mananthaal Mahadevi Mahadevi|-|Illaiyael Marana Devi|-|Dammaalu Dammaalu Dummeelu Dummeelu|-|Dummeelu Dummeelu Dammaalu Dammaalu|-|Dammaalu Dammaalu Dummeelu Dummeelu|-|Dummeelu Dummeelu Dammaalu Dammaalu|-|Wrongu Panna Raaduthaane Ellai Kottukkulla|-|Sokku Sceneu Topu Thaane Naanum Oorukkulla|-|Thappu Pannaa Vaaya Odachi Thattuvaenda Palla|-|En Manasukkulla Villainkku Eevu Erakkam Illa|-|Dammaalu Dammaalu Dummeelu Dummeelu|-|Dummeelu Dummeelu Dammaalu Dammaalu|-|Dammaalu Dammaalu Dummeelu Dummeelu|-|Dummeelu Dummeelu Dammaalu Dammaalu|-|Pulla Poochigellukkellaam Idea Varuthu Senjiruvaen|-|Karshal Kutchal Eratchal Kuduthaa Yaaraanthaalum Mavane|-|Ultimateu Aalu Thaandaa Seendi Paaru Ivana|-|Gaandaa Keendaa Aakki Utta Theva Illaama Sivana|-|En Roobathula Paathuduva Nerula Nee Emana|-|Dammaalu Dammaalu Dummeelu Dummeelu|-|Dummeelu Dummeelu Dammaalu Dammaalu|-|Dammaalu Dammaalu Dummeelu Dummeelu|-|Dummeelu Dummeelu Dammaalu Dammaalu|-|Jaikkanumnnu Poranthavan Naan Thaane|-|Enakkingu Kavala Illa|-|Ethuthu Nikkum Ethiringa Ellaarum Povaanga Mannukkulla|-|Safety Illaatha Thangaikkellaam|-|Eppovum Naanthaandaa Annan|-|Moonjiya Muzhusaa Maathiduvaen|-|Yaedaakoodam Ethanaa Pannaa|-|Ethukkum Thuninja Aalu|-|Kelu Kelu Kelu Kelu|-|Oothiduvaen Naanum Paalu|-|Dammaalu Dammaalu Dummeelu Dummeelu|-|Dummeelu Dummeelu Dammaalu Dammaalu|-|Dammaalu Dammaalu Dummeelu Dummeelu|-|Dummeelu Dummeelu Dammaalu Dammaalu|-|Nenjukkulla Nenjukkulla Vechirukkaen Thilla|-|Yaarum Illa Yaarum Illa Enna Inga Vella|-|Aanavatha Gaali Pannum Ayyanaaru Pulla|-|Enga Areala Enna Vuttaa Ellai Saami Illa|-|Dammaalu Dammaalu Dummeelu Dummeelu|-|Dummeelu Dummeelu Dammaalu Dammaalu|-|Dammaalu Dammaalu Dummeelu Dummeelu|-|Dummeelu Dummeelu Dammaalu Dammaalu|-|Peesal Pillakka Sharp Paiyan Sallakka|-|Fraudu Pannaakka Thookkiduvaen Allekka
Anirudh Ravichander Dhaga Dhagamaney lyrics,Dhaga Dhagamaney|-|Turupu Disa|-|Padamaranisay Mugisene|-|Gala Gala Mane Nadi Padanisa|-|Kannirulo Tadisane|-|Koravali Bujamunavesi|-|Koduke Kothaku Kadiley|-|Darbanu Danuvuga Visire|-|Bhargavaramudu Vedey|-|Saduvukale Veluguna Padi|-|Satyamla Merisene|-|Agnyathame Maruguna Padi|-|Ayudam Egesane ee...|-|Erraga Tadipene!!!|-|Eeracha Raktamo Nindine|-|Korraga Merisane|-|Pasikarigaanchuno Kiraname|-|Merupula Deepam|-|Chamurale Chikativampii|-|Mabbulo Velturu|-|Nimpi Chirujallul Kuripistadeyy.|-|Chinukula Daram|-|Chivaranchuku Ningini Chuti|-|Chigurinche Nelaku Tati|-|Renditini Kalpestadeyy.|-|Koravali Bujamunavesi|-|Koduke Kothaku Kadiley|-|Darbanu Danuvuga Visire|-|Bhargavaramudu Vedey|-|Sigguvipravamlaga Vidu|-|Ukkudishravamlaga Vidu|-|Yuddamantashabdam Vidu|-|Vidoka Pranam|-|Ranamula Ninadistuntadu|-|Saramula Yedurostuntadu|-|Marana Saranatoranamitadu|-|Veedoka Pramadam...|-|Ripanchuna Gala|-|Adugaduguna Nijamay Kanipinchela|-|Veedo Vidudala|-|Eni Prannaala Mounalaki Eevela|-|Merupula Deepam|-|Chamurale Chikativampi|-|Mabbulo Velturu Nimpi|-|Chirujallul Kuripistadeyy.|-|Chinukula Daram|-|Chivaranchuku Ningini Chuti|-|Chigurinche Nelaku Tati|-|Renditini Kalpestadey|-|Erraga Tadipene|-|Eeracha Raktamo Nindine|-|Korraga Merisane|-|Pasikarigaanchuno|-|Kiranamee|-|Megam Epudu
Anirudh Ravichander Don'u Don'u Don'u (The Don's Romance) lyrics,Don-u Don-u Don-u|-|naannn unnnnnnoott Gold miinnnu|-|Scene-u Scene-u Scene-u|-|nii tottttaalee ellaam Scene-u|-|maannnu maannnu maannnu|-|naannn unnnnnnoott Caffeine-u|-|Gone-u Gone-u Gone-u|-|nii paarttaalee naannn Gone-u|-|kunnttaannn knnnnaal kuttaam kuttaat|-|nii onnnnnn tntaalum pttaattti|-|roojaappuu teekttaal raajaa naannn caanycitttteennn|-|ommunnnnnnee ennn kettu nikkaattti|-|urrukutee|-|unnntnnn aannmai paarttu|-|myngkutee|-|int paavai taannn|-|tvikkutee|-|ellai taanntti paarkk|-|tttukkutee penn naannnm taannn|-|urrukutee|-|myngkutee|-|tvikkutee|-|tttukkutee|-|penn naannnm taannn|-|(Music)|-|I am A Loyal Husband|-|Giving You Royal Treatment|-|And Your Daily Shopping Is Guaranteed|-|You Are My miicaa maamaa|-|I am Your Naughty maami|-|Giving You A Lifetime Service Warranty|-|I am A Loyal Husband|-|Giving You Royal Treatment|-|And Your Daily Shopping Is Guaranteed|-|You Are My miicaa maamaa|-|I am Your Naughty maami|-|Giving You A Lifetime Service Warranty|-|ee vaamaa Twinkle-u|-|Come And Mingle-u|-|nmm kaattttul naannntaannn King-u|-|Modern mnnnmtaa|-|aacai kuuttutaa?|-|knnnn kttttutaa?|-|Give Me Ring-u|-|naannn cokkurreennntti|-|vikkurreennntti|-|ottaiyil nikkurreennntti|-|naannn tittikkvaa|-|pttikkvaa|-|ottaikkott aatt Ready|-|urrukutee|-|myngkutee|-|tvikkutee|-|tttukkutee|-|penn naannnm taannn|-|urrukutee|-|unnntnnn aannmai paarttu|-|myngkutee|-|int paavai taannn|-|tvikkutee|-|ellai taanntti paarkk|-|tttukkutee penn naannnm taannn|-|Don-u Don-u Don-u|-|naannn unnnnnnoott Gold miinnnu|-|Scene-u Scene-u Scene-u|-|nii tottttaalee ellaam Scene-u|-|maannnu maannnu maannnu|-|naannn unnnnnnoott Caffeine-u|-|Gone-u Gone-u Gone-u|-|nii paarttaalee naannn Gone-u|-|kunnttaannn knnnnaal kuttaam kuttaat|-|nii onnnnnn tntaalum pttaattti|-|roojaappuu teekttaal raajaa naannn caanycitttteennn|-|ommunnnnnnee ennn kettu nikkaattti|-|I am A Loyal Husband|-|Giving You Royal Treatment|-|And Your Daily Shopping Is Guaranteed|-|You Are My miicaa maamaa|-|I am Your Naughty maami|-|Giving You A Lifetime Service Warranty|-|I am A Loyal Husband|-|Giving You Royal Treatment|-|And Your Daily Shopping Is Guaranteed|-|You Are My miicaa maamaa|-|I am Your Naughty maami|-|Giving You A Lifetime Service Warranty
"Anirudh Ravichander Edhuvaraiyo (From ""Kolamaavu Kokila"") lyrics",Edhuvaraiyo Edhuvaraiyo|-|Intha Valiye Edhuvaraiyo|-|Irul Anaiyaadho|-|Vidhiyo Thalai Vidhiyo|-|Intha Gadhiye Thalai Vidhiyo|-|Thuyar Marayaatho|-|Marubadi Nila Pozhiyaatho|-|Marubadi Nila Pozhiyaatho|-|Nirayaatho|-|Nizhal Tharum Kanaa|-|Viriyaatho|-|Nizhal Tharum Kanaa|-|Theriyaatho Viriyaatho|-|Kaayam Varuthey|-|Kaayam Varuthey|-|Soga Kuzhiyil|-|Vaazha Viduthey|-|Veezhum Pozhuthum|-|Maaya Padiyil|-|Kadhal Ezhuthey|-|Kaayam Varuthey|-|Saabam Tharuthey|-|Soga Kuzhiyil|-|Vaazha Viduthey|-|Kaanum Edhuvum|-|Veezhum Pozhuthum|-|Maaya Padiyil|-|Kadhal Ezhuthey|-|Baaram vanthu|-|Baaram vanthu|-|Sera Yaarum Illai|-|Yaarum Illai Koora|-|Thanimaiyile Ulavugiren|-|Azhuthidavey Pazhagugiren|-|Vaazha Vendum|-|Vaazha Vendum|-|Endru Aasai Thondrum|-|Aasai Thondrum Indru|-|Kadal Naduvey|-|Thathumbugiren|-|Karai Varumaa Irangugiren|-|Vizhigalin Vinaa|-|Udaiyaatho Mudiyaatho|-|Vizhigalin Vinaa|-|Udaiyaatho Mudiyaatho|-|Adaipadum Pura|-|Nagaraatho|-|Adaipadum Pura|-|Nagaraatho|-|Uyaraatho|-|Kaayam Varuthey|-|Kaayam Varuthey|-|Soga Kuzhiyil|-|Vaazha Viduthey|-|Kaanum Edhuvum|-|Veezhum Pozhuthum|-|Maaya Padiyil|-|Kadhal Ezhuthey|-|Kaayam Varuthey|-|Saabam Tharuthey|-|Soga Kuzhiyil|-|Vaazha Viduthey|-|Kaanum Edhuvum|-|Veezhum Pozhuthum|-|Maaya Padiyil|-|Kadhal Ezhuthey|-|Kaayam Varuthey|-|Saabam Tharuthey|-|Soga Kuzhiyil|-|Vaazha Viduthey|-|Kaanum Edhuvum|-|Veezhum Pozhuthum|-|Maaya Padiyil|-|Kadhal Ezhuthey|-|Kaayam Varuthey|-|Saabam Tharuthey|-|Soga Kuzhiyil|-|Vaazha Viduthey|-|Kaanum Edhuvum|-|Veezhum Pozhuthum|-|Maaya Padiyil|-|Kadhal Ezhuthey
